OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,1037.181885,-0.161862752,0.079955103,-2.024420542,0.0429269,0.098830595,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,1980.515533,-0.246946274,0.065120236,-3.792158793,0.000149343,0.001204081,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
d47beb8cb5d090d3ae5824302bb361b0c25784c6,2992.932533,-0.089002582,0.07817602,-1.138489551,0.254916119,0.377979074,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6,74.86142797,-0.141620703,0.120390891,-1.176340681,0.239458766,0.363413891,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,22238.87289,0.196737831,0.058902339,3.340068231,0.000837578,0.005145123,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878,4947.833879,0.001739248,0.10185339,0.017075994,0.98637599,0.997606199,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium
2f331ad51f76d989782a9cb63dbea94e4f8b844c,691.5307859,-0.209171534,0.104440926,-2.002773644,0.04520159,0.098830595,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
71140dd01d5964889d360c7a2b5b43df574e40f2,2.672646672,-0.221709465,0.116753457,-1.898954182,0.0575705,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
72a591069a0e4e007ffc35390d443a5878a2bcd3,202.7568049,-0.422373116,0.116909843,-3.612810555,0.000302896,0.002188233,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Schaedlerella,s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf,15126.53463,0.267388889,0.082791522,3.229665092,0.001239353,0.006951154,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Parasutterella,unidentified
