OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	1037.18188511659	-0.161862751959755	0.0799551025227853	-2.02442054168623	0.0429268999546824	0.0988305951249005	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8	1980.51553344727	-0.246946274117716	0.0651202356249542	-3.79215879285126	0.000149343365909527	0.00120408088764556	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides salyersiae
d47beb8cb5d090d3ae5824302bb361b0c25784c6	2992.93253282329	-0.0890025816201265	0.0781760197351669	-1.13848955116462	0.254916119494155	0.377979073732712	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6	74.8614279740836	-0.141620703146842	0.120390891358936	-1.17634068116176	0.23945876551856	0.363413891198755	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85	22238.8728919815	0.196737830519091	0.0589023387905441	3.34006823088449	0.000837578090159638	0.00514512255383778	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878	4947.83387866726	0.00173924784380126	0.101853389600248	0.0170759937457892	0.986375990336255	0.997606199450124	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
2f331ad51f76d989782a9cb63dbea94e4f8b844c	691.53078593992	-0.209171533741654	0.104440925896245	-2.00277364401625	0.0452015900183653	0.0988305951249005	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	unidentified	unidentified
71140dd01d5964889d360c7a2b5b43df574e40f2	2.67264667159928	-0.221709464988216	0.116753456781132	-1.8989541817493	0.0575705004866574	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unidentified
72a591069a0e4e007ffc35390d443a5878a2bcd3	202.756804902035	-0.422373116185523	0.116909843392378	-3.61281055494989	0.000302896003982913	0.00218823257612043	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf	15126.5346299626	0.267388889457327	0.0827915222933551	3.2296650919147	0.00123935303960113	0.0069511540047194	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Parasutterella	unidentified
2e2aa48327491860732b3ac809b0a333f8d4605e	19.1995557774777	0.301859331013177	0.134019287602172	2.25235737641903	0.0242996969985975	0.0681448024525888	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
b0a7b618138b08258a46347956ebba150b8545fa	199.81518094616	-0.242500630175691	0.116394553891462	-2.08343622676558	0.0372114790369935	0.0923130922263878	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans
2121d02fed97ef400063411122ab85ea5c1ec618	30.2914002491998	-0.174613365170977	0.138444985348941	-1.26124730867554	0.207219758718805	0.320104536405408	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis
17f552bd6c9e75f51ad67a8986900692f382050e	118.594709057306	0.184996927409093	0.09130071064922	2.02623754068965	0.0427404483465773	0.0988305951249005	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee	1080.05069374591	-0.00888276129290847	0.106804251458649	-0.0831686114699989	0.933717470665229	0.969834213509936	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	unidentified
00b5819148080b717d2e11c8e5cf25ee374ad05c	120.297230433009	-0.221473299229739	0.136236682961961	-1.62565099512572	0.104023920397169	0.196995894635589	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Clostridium_Q	s__Clostridium_Q symbiosum
8cb061cbd139dcb5a87e44b016402cf2b03bd407	2966.27384497894	0.164725402256465	0.068465560828247	2.40596002229055	0.0161300297318348	0.0507505813513827	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-81	unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309	7274.78060960195	-0.0394569400525603	0.0793754033914244	-0.497092781475214	0.619123624780111	0.751984013776802	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii
d28565e03340925758c915d26aaa3cb2f8ab09fe	87.9769462561081	0.0938671270389543	0.124238016996823	0.755542701887739	0.449923420716307	0.592246135432689	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea sp900066555
