OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,15.87821271,-0.333217216,0.323175703,-1.031071373,0.302507351,0.729579118,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,35.89584662,-0.780047097,0.259684324,-3.0038282,0.002666058,0.043779483,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e,1.104540413,0.146260596,0.62698538,0.233275927,0.81554715,0.931202193,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
d47beb8cb5d090d3ae5824302bb361b0c25784c6,1873.446798,0.248458297,0.237197867,1.04747273,0.294881603,0.729579118,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6,4.952073764,-0.371406803,0.393310141,-0.944310265,0.345011122,0.735914312,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,unidentified
081b89b7745ed16863ac909581aae7e738ff4bd5,13.37206861,-0.111490152,0.488320956,-0.228313266,0.819402712,0.931202193,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__Alistipes_A ihumii
20f602501dcb4daed614f1273fc471e87fe9f570,85.71172276,-1.541802697,0.638773837,-2.413691057,0.015791846,0.149304727,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,unidentified,unidentified
60406af31c00e1e9f694d85d67b49f9a1d6ff0ff,2.952705532,0.022307468,0.500916727,0.044533287,0.964479319,0.989551685,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides caccae
2658ee7d1203ebb9932d2f1e5cc1a9c052039084,6.518758415,-0.116864133,0.563461036,-0.207404106,0.835694276,0.931202193,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum sp003481705
ab834940be8b8ba0e8b0b40e8da4af86faf53ca8,5.398425248,0.747711991,0.435529252,1.71678937,0.086017664,0.413835433,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Anaerotignaceae,g__Anaerotignum,unidentified
0c9dc306f826c670f000bfaebf786a0da8c2f078,0.953232579,0.970873581,0.61596602,1.576180422,0.114984229,0.459804348,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
deb298a7f25a134f770196842edb7a3a3f13e36d,4.420866542,0.224694964,0.570461906,0.393882504,0.693667789,0.931202193,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545585
6c1158a204e1d96660f335501335d5169486ab2f,164.0128392,-2.434714418,0.786763542,-3.094594867,0.001970819,0.036170324,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,g__CAG-354,s__CAG-354 sp900552655
4106f8565006c436dd33a57a88122a59667ea2ce,1.292320633,0.071342778,0.543753491,0.131204266,0.895613722,0.956957127,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__UBA7182,s__UBA7182 sp003480725
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,2982.093011,0.545279419,0.170386411,3.200251792,0.001373076,0.028559976,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878,479.5248818,-0.770996939,0.386920804,-1.992647931,0.046300013,0.288912079,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium
cf0ddfd516943a85ecf0097b5794cf09071e7764,8.641384174,-0.545135378,0.347229214,-1.569958274,0.116424819,0.459804348,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c,167.3931644,-0.99543779,0.339530772,-2.931804336,0.00336999,0.048041572,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
5c084ab75457f799a245f66ab04fe00a1a4938c9,48.11752115,-0.197248585,0.47017207,-0.41952425,0.674833036,0.931202193,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,unidentified,unidentified
43f2f063cb2edbd604264e0eabe3a364269c3a9d,13.19279221,-0.566245792,0.397073473,-1.426047899,0.153854516,0.539355158,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella massiliensis
9b6d5aec141520ae3b4553db5c15b5eeb8037703,29.20292381,-0.315983294,0.421084113,-0.750404217,0.453011292,0.814952996,d__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Eggerthella,s__Eggerthella lenta
