OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	15.8782127142725	-0.333217216124974	0.323175703249909	-1.03107137316972	0.302507351008746	0.729579118283433	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8	35.89584662337	-0.78004709679302	0.259684324457959	-3.00382819956968	0.00266605824898662	0.0437794828254645	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e	1.10454041280773	0.146260596094213	0.626985380267676	0.233275927473413	0.815547150093667	0.931202193092751	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
d47beb8cb5d090d3ae5824302bb361b0c25784c6	1873.44679841942	0.248458297358605	0.237197866965068	1.04747273041538	0.294881602853605	0.729579118283433	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6	4.95207376410336	-0.371406803406055	0.393310140973158	-0.944310264889411	0.345011121961155	0.735914311826693	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	unidentified
081b89b7745ed16863ac909581aae7e738ff4bd5	13.372068607976	-0.111490152448349	0.48832095590741	-0.228313266304895	0.819402711879901	0.931202193092751	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A ihumii
20f602501dcb4daed614f1273fc471e87fe9f570	85.7117227645921	-1.54180269742971	0.638773836914032	-2.41369105672563	0.0157918461102234	0.149304726860294	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	unidentified	unidentified
60406af31c00e1e9f694d85d67b49f9a1d6ff0ff	2.95270553150835	0.0223074682599971	0.500916726759885	0.0445332868085481	0.964479319251254	0.989551685200276	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides caccae
2658ee7d1203ebb9932d2f1e5cc1a9c052039084	6.5187584152269	-0.116864132703488	0.563461036090759	-0.207404106438807	0.835694275852469	0.931202193092751	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Agathobaculum	s__Agathobaculum sp003481705
ab834940be8b8ba0e8b0b40e8da4af86faf53ca8	5.39842524829104	0.747711990651826	0.435529252275846	1.71678937004731	0.0860176638874177	0.413835433460408	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Anaerotignaceae	g__Anaerotignum	unidentified
0c9dc306f826c670f000bfaebf786a0da8c2f078	0.953232579285651	0.970873580961689	0.615966019896227	1.57618042164932	0.11498422920781	0.459804348487792	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
deb298a7f25a134f770196842edb7a3a3f13e36d	4.42086654222227	0.224694963747743	0.570461906150913	0.393882503502874	0.693667788531807	0.931202193092751	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp900545585
6c1158a204e1d96660f335501335d5169486ab2f	164.012839208461	-2.43471441801935	0.786763541776992	-3.09459486711888	0.0019708189630039	0.0361703244974834	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-354	s__CAG-354 sp900552655
4106f8565006c436dd33a57a88122a59667ea2ce	1.29232063292555	0.0713427775789011	0.543753491290258	0.131204265759496	0.895613721543731	0.956957127128918	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__UBA7182	s__UBA7182 sp003480725
fbb506568c406e9dc91efa9d9ac4cc536b73ca85	2982.09301055332	0.545279418765915	0.170386411484799	3.20025179246506	0.00137307576850375	0.0285599759848781	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878	479.52488176919	-0.770996939432342	0.386920803907015	-1.99264793117102	0.046300012720862	0.288912079378179	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
cf0ddfd516943a85ecf0097b5794cf09071e7764	8.64138417361804	-0.545135377937058	0.34722921434455	-1.56995827371866	0.116424819008127	0.459804348487792	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c	167.393164358998	-0.995437790176738	0.339530772244361	-2.93180433572106	0.003369989946463	0.0480415718382216	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	unidentified	unidentified
5c084ab75457f799a245f66ab04fe00a1a4938c9	48.1175211509792	-0.197248584999873	0.470172070019866	-0.419524249901826	0.674833035913027	0.931202193092751	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	unidentified	unidentified
43f2f063cb2edbd604264e0eabe3a364269c3a9d	13.1927922138771	-0.566245791525441	0.397073472588971	-1.42604789948179	0.153854516190679	0.539355157881931	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella massiliensis
9b6d5aec141520ae3b4553db5c15b5eeb8037703	29.2029238112348	-0.315983293785741	0.421084112728453	-0.750404216721211	0.453011292088112	0.814952995973316	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	f__Eggerthellaceae	g__Eggerthella	s__Eggerthella lenta
