OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,3.884181968,1.217282208,0.659737228,1.845101589,0.065022762,0.25155103,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
d47beb8cb5d090d3ae5824302bb361b0c25784c6,94.91257894,0.315506996,0.445367055,0.70842015,0.478684383,0.769747697,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6,0.809309994,0.630786872,0.912038531,0.691623052,0.489174081,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,unidentified
08d10357a57ed665a2b8c44efbf0f991a4910125,1.108937574,0.049809699,0.768684896,0.064798592,0.948334362,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
058315feb5f0dbd44ab6a6f983f2e9951c2cf168,1.233778202,0.171028423,0.826008205,0.207054146,0.835967572,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp900066565
fe5dc91d58556e228070afd6bc1dc93d02b3255a,1.600634086,2.112816858,0.885395213,2.386298036,0.017018952,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
4562989b2be1a47d23a80a7b088dbf033a7c4c11,0.940540411,1.091262128,1.052209488,1.03711489,0.299682316,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,unidentified
6092a7c9b8837c654a7c6fd21230aac1d96b927d,1.22692885,2.418948338,0.930400292,2.599900667,0.009325075,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__Acutalibacter sp003612555
a3bf83a9f89f34d1cbd448a354b2b981a40ba350,1.318551233,0.237897818,0.952295646,0.249815086,0.802730353,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,1122.656213,0.315866095,0.228345067,1.38328408,0.166577777,0.473805424,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c,24.34541495,-2.296048304,0.82120375,-2.795954481,0.005174669,0.036802659,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
d7d1ce91f7a7cf47d8656413bbae37564a6c3de5,38.88352075,0.936177631,0.844932181,1.107991448,0.267865509,0.624114351,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,unidentified
