OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,3.283826564,-0.363484728,0.354240213,-1.026096739,0.304845987,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,7.593142068,-0.327870907,0.336378195,-0.974709157,0.329704549,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
d47beb8cb5d090d3ae5824302bb361b0c25784c6,17.4999053,0.657498575,0.461036465,1.426131392,0.153830419,0.288300112,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
69e770536ab2ca1956643d9f28b984d90ce69aca,1.767004072,0.506352837,0.378134785,1.339080287,0.180544537,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
60406af31c00e1e9f694d85d67b49f9a1d6ff0ff,3.263652171,0.069561559,0.350630153,0.198390123,0.842739844,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides caccae
dda12f1dde3c0c6ba8d30a6d02c6e049e04687b9,57.07640885,0.861294002,0.383693722,2.244743536,0.024784601,0.095007639,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,926.261893,-0.1726735,0.318709497,-0.541789628,0.587963437,0.763526417,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878,20.59402181,-2.10792898,0.466215105,-4.521365689,6.14E-06,0.000105987,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium
cf0ddfd516943a85ecf0097b5794cf09071e7764,20.46959921,0.238007085,0.613842797,0.38773296,0.698213661,0.860298976,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c,40.24973567,-1.047363877,0.486842423,-2.151340615,0.031449325,0.098918672,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
5f0b68f1969f2c6256934e0e301342be21908775,9.246872555,-0.022034575,0.397797013,-0.055391504,0.955826564,0.969882837,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
41b1588161423fdbf8d039a52b0c69ca667cb34d,3.844082926,0.314329885,0.483291303,0.650394251,0.51543759,NA,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,unidentified,unidentified
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf,33.9779774,0.534323858,0.324848798,1.644838648,0.10000309,0.20909737,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Parasutterella,unidentified
b0a7b618138b08258a46347956ebba150b8545fa,2.679845809,-0.700119173,0.449894805,-1.556184169,0.119664305,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium lactatiformans
17f552bd6c9e75f51ad67a8986900692f382050e,6.555506767,0.250752419,0.435460904,0.57583222,0.564728593,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee,249.0869414,0.664518897,0.474777364,1.399643174,0.161620198,0.293468255,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
8cb061cbd139dcb5a87e44b016402cf2b03bd407,13.90151944,0.712398101,0.325201263,2.19063756,0.028478031,0.098918672,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-81,unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309,17.1867665,-1.210110643,0.339835555,-3.560871208,0.000369626,0.004250703,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
ffd305a548903f3e385469f595688a2e0671f6db,16.95584204,-0.769357674,0.298197095,-2.580030751,0.009879152,0.052435498,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,unidentified
826eb84dbc40cb07cb06369e29cc2838c5c4986e,81.18494038,0.793432299,0.374293933,2.119810738,0.034022009,0.102066028,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,unidentified
5306dd9efe1839e6fc783e22358007b036aca265,8.043525502,0.053116978,0.419817571,0.126523952,0.899317191,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__UMGS1071,s__UMGS1071 sp900548305
48072b2e5504b9db1ad9c638f8ff0bfacf2c5cbb,60.26449504,0.865080493,0.402325331,2.15020141,0.031539287,0.098918672,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Mesosutterella,unidentified
19d0d6fea2c91d7b94cb38c7ec681800aab7c30a,5.978058107,-0.515929802,0.459614453,-1.122527369,0.261638277,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
9ed1d246a1d504a6654f3fb03b5cb9a45fd2fbc9,97.33209259,-1.044606472,0.477452261,-2.187876271,0.028678616,0.098918672,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545585
921c29e652f197ee4523856074e9392db3efeb2f,90.74218439,-0.260400305,0.229094924,-1.136648074,0.255685434,0.420054642,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
b3e036f31f0c4344fbf2b74904cc6a12ac142b31,15.05244777,-0.131903693,0.456749182,-0.288788023,0.772743598,0.874087021,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Comamonas,unidentified
1a358ec1f08c3036d5b3f6b0e80f5464c3a2d95f,18.31657025,0.646939168,0.447994785,1.444077451,0.14871719,0.288300112,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Hungatella_A,s__Hungatella_A sp003478355
