OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
0c07206fab1e83dbb4370779365bebe36a1a9e3f,1.236220846,-0.557027263,1.071048432,-0.520076634,0.603010164,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
5a7be57a0ee49b09f1e6995697f642ef130422a5,14.13038067,-0.780046089,0.842072971,-0.926340253,0.354269183,0.769578699,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,44.51286388,-0.511893594,0.486491162,-1.052215609,0.29270064,0.761174552,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
393225ced7a7f5d8ed1373b0893b68c804085733,1.757347596,0.862608949,0.967309493,0.89176107,0.372521012,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger qucibialis
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,371.4642561,-0.18349223,0.338270846,-0.542441753,0.587514223,0.900184224,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e,1.949988554,1.223083997,0.882083408,1.386585425,0.165568215,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
d47beb8cb5d090d3ae5824302bb361b0c25784c6,150.8970003,-0.020716899,0.437702506,-0.047331004,0.962249418,0.990655305,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
1fa76287de712ca8fadd929e1d0920c012593193,6.901465022,0.892685455,0.643037404,1.388232551,0.165066243,0.662640027,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola vulgatus
69e770536ab2ca1956643d9f28b984d90ce69aca,4.063377126,1.042944784,0.677094455,1.540323917,0.123481417,0.589727471,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
e6cd6b9784d01f46e1fe74a4650e6f065c0a17d4,2.204857206,-1.657544943,0.955730117,-1.734323229,0.082860748,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__CAG-83,s__CAG-83 sp900545585
