OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
0c07206fab1e83dbb4370779365bebe36a1a9e3f	1.2362208455531	-0.557027262897948	1.07104843166515	-0.520076633726026	0.603010163598714	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unidentified
5a7be57a0ee49b09f1e6995697f642ef130422a5	14.1303806673204	-0.78004608879947	0.842072971221766	-0.926340252517189	0.354269183434886	0.7695786991874	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	44.5128638817881	-0.511893594178938	0.486491161943124	-1.05221560888044	0.292700639738082	0.761174551920443	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
393225ced7a7f5d8ed1373b0893b68c804085733	1.75734759594759	0.86260894867483	0.967309493214749	0.891761069983963	0.372521012244092	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger qucibialis
1825e0276b9c35d84fd53a1c986f1f31978eb8d8	371.464256086374	-0.183492230409337	0.338270845569004	-0.542441752852469	0.587514223101965	0.900184223901076	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e	1.9499885540536	1.22308399746758	0.882083408403089	1.38658542470698	0.165568215270537	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
d47beb8cb5d090d3ae5824302bb361b0c25784c6	150.897000333962	-0.0207168992207853	0.437702506235891	-0.0473310043365855	0.962249417878335	0.990655304752973	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
1fa76287de712ca8fadd929e1d0920c012593193	6.90146502194569	0.892685455299394	0.6430374038234	1.38823255069087	0.165066243380321	0.66264002738287	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus
69e770536ab2ca1956643d9f28b984d90ce69aca	4.06337712628263	1.0429447837854	0.677094455296599	1.54032391733076	0.123481416621819	0.589727471219582	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unidentified
e6cd6b9784d01f46e1fe74a4650e6f065c0a17d4	2.20485720558555	-1.65754494282519	0.955730117237582	-1.73432322883798	0.0828607481857718	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp900545585
