OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,10.16658303,0.22836359,0.685194124,0.333283053,0.738920631,0.938201194,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
d47beb8cb5d090d3ae5824302bb361b0c25784c6,32.18855814,-0.185034764,0.333731917,-0.554441318,0.579276855,0.924707995,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,205.9551378,0.111358449,0.302950698,0.367579444,0.713186844,0.938201194,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
2f331ad51f76d989782a9cb63dbea94e4f8b844c,10.8969121,-0.367282056,0.54163948,-0.678093215,0.497712593,0.889290371,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
f03f7f0f5d5e8526773332de07f06baa0cb70979,5.867253248,4.172203133,0.833839207,5.003606328,5.63E-07,7.20E-05,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,unidentified
72a591069a0e4e007ffc35390d443a5878a2bcd3,30.29745199,0.050752464,0.722523922,0.070243299,0.944000012,0.981685285,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Schaedlerella,s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf,4.931454733,0.744489069,0.658144963,1.131193142,0.257973808,0.889290371,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Parasutterella,unidentified
8dcf29e332314457eded368efcfcb06de06125e3,3.137091481,0.125375481,0.651674757,0.192389654,0.847436996,0.968499424,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerobutyricum,s__Anaerobutyricum hallii_A
b0a7b618138b08258a46347956ebba150b8545fa,4.225998579,-0.31125212,0.783663314,-0.397175821,0.691237811,0.931351998,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium lactatiformans
1a6ec3afe71ba59dba96dab70f7dc0b5da2e4f45,2.611371604,0.199355049,0.896159565,0.222454858,0.823959811,0.953960428,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Actinomycetaceae,g__Pauljensenia,unidentified
17f552bd6c9e75f51ad67a8986900692f382050e,0.956710142,0.791729991,0.91079607,0.869272515,0.384698092,0.889290371,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee,19.63088896,-1.545199758,0.487255128,-3.171233443,0.001517931,0.048573794,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
8cb061cbd139dcb5a87e44b016402cf2b03bd407,16.62029501,1.366761495,0.624938409,2.187033914,0.028740048,0.408747354,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-81,unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309,27.66069066,0.506919659,0.531143482,0.954393071,0.339884712,0.889290371,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
d28565e03340925758c915d26aaa3cb2f8ab09fe,6.81920181,-0.853756296,0.47089493,-1.813050516,0.06982403,0.638391135,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__Dorea sp900066555
2f10b70f625cb69f74d6b362e2b8eef0701eced4,2.079150202,-0.741065586,0.934733926,-0.792809125,0.427889039,0.889290371,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Clostridium_A,s__Clostridium_A leptum
ffd305a548903f3e385469f595688a2e0671f6db,39.53505964,0.030322018,0.493510548,0.061441478,0.95100762,0.981685285,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,unidentified
7de51ee500c68a9da4fd52a4df1133cba2ab0fca,4.205796198,0.248370459,0.726049884,0.342084565,0.732287253,0.938201194,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,unidentified
