OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,26.22319951,-0.411133988,0.257932042,-1.593962441,0.110944447,0.429396102,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,56.5435635,-0.386124881,0.207767712,-1.858445076,0.063105836,0.303197898,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e,4.871111143,0.054521102,0.326545547,0.166963238,0.867398975,0.940166151,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
3ea1b3a128ce1904a5e104250d802b0235913df0,1.25157053,-0.29991554,0.51564327,-0.58163377,0.560813391,NA,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,unidentified
d47beb8cb5d090d3ae5824302bb361b0c25784c6,181.1026312,-0.057580411,0.210340467,-0.273748614,0.784277815,0.900554685,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
1fa76287de712ca8fadd929e1d0920c012593193,3.201583526,-0.225060079,0.310391893,-0.725083625,0.468400729,0.764810566,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola,s__Phocaeicola vulgatus
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6,1.704862401,-0.431256392,0.434694445,-0.992090874,0.321153198,0.683661586,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,unidentified
081b89b7745ed16863ac909581aae7e738ff4bd5,17.1830074,-0.096766964,0.306579528,-0.315634134,0.752280226,0.888028657,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A,s__Alistipes_A ihumii
20f602501dcb4daed614f1273fc471e87fe9f570,28.99665152,-0.273640171,0.339896625,-0.805068808,0.420779974,0.739509967,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__TANB77,f__CAG-508,unidentified,unidentified
6576d8577631df7dfc39d1d3a2e24ef47e25733e,163.8889857,-0.812217707,0.471249224,-1.723541738,0.084790604,0.371913846,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-180,s__CAG-180 sp900315985
