OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	26.2231995073477	-0.41113398814917	0.257932042488609	-1.59396244135634	0.11094444745113	0.429396102171965	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8	56.5435635048987	-0.386124881200349	0.207767711915997	-1.85844507618424	0.0631058361502413	0.303197897975264	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides salyersiae
a3d643b3e846a69e7bc53ecd165e07dae0c7393e	4.87111114333466	0.0545211018799041	0.326545546580494	0.166963238209297	0.867398974501923	0.940166150546763	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
3ea1b3a128ce1904a5e104250d802b0235913df0	1.25157053008534	-0.299915539511514	0.515643270304952	-0.581633770443941	0.560813390870614	NA	d__Bacteria	p__Firmicutes	c__Bacilli	o__Erysipelotrichales	f__Erysipelatoclostridiaceae	g__Erysipelatoclostridium	unidentified
d47beb8cb5d090d3ae5824302bb361b0c25784c6	181.102631177542	-0.0575804114845883	0.210340467414707	-0.273748614293335	0.784277815397027	0.900554684645133	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
1fa76287de712ca8fadd929e1d0920c012593193	3.20158352577299	-0.225060079340553	0.310391893449017	-0.725083625218839	0.468400729388331	0.764810565954384	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6	1.70486240123973	-0.431256391576598	0.43469444450622	-0.992090874468092	0.321153197676626	0.683661586042106	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	unidentified
081b89b7745ed16863ac909581aae7e738ff4bd5	17.1830074015283	-0.0967669636824801	0.306579527920188	-0.315634133625751	0.752280226242053	0.888028656674797	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes_A	s__Alistipes_A ihumii
20f602501dcb4daed614f1273fc471e87fe9f570	28.9966515159616	-0.273640170858337	0.339896625246178	-0.805068807788682	0.420779974458633	0.739509966778004	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__TANB77	f__CAG-508	unidentified	unidentified
6576d8577631df7dfc39d1d3a2e24ef47e25733e	163.888985700799	-0.812217706735384	0.471249224214705	-1.72354173757819	0.0847906042223018	0.371913846018326	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__CAG-180	s__CAG-180 sp900315985
