OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f,31.46836533,-0.318332963,0.158313394,-2.010777204,0.044348995,0.126579423,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Flavonifractor,unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8,105.3366653,-0.060133076,0.126564882,-0.475116598,0.634703869,0.730709496,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides salyersiae
d47beb8cb5d090d3ae5824302bb361b0c25784c6,237.4097424,-0.124958499,0.088393666,-1.413658967,0.157462059,0.317239736,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6,3.588923254,0.011699874,0.227922839,0.051332609,0.959060484,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Lawsonibacter,unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85,1099.401857,0.15360623,0.079438007,1.933661677,0.053154739,0.145643984,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878,338.0465011,0.461775345,0.339949135,1.358365995,0.174347579,0.336417159,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium,s__Phascolarctobacterium faecium
2f331ad51f76d989782a9cb63dbea94e4f8b844c,62.0051597,-0.511892921,0.212026802,-2.41428403,0.015766167,0.074481546,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,unidentified,unidentified
71140dd01d5964889d360c7a2b5b43df574e40f2,4.064970099,0.13299928,0.248812589,0.534535974,0.592970767,0.706408653,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,unidentified
43f2f063cb2edbd604264e0eabe3a364269c3a9d,5.121066488,-0.602977626,0.252008448,-2.392688149,0.01672545,0.076379556,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Angelakisella,s__Angelakisella massiliensis
72a591069a0e4e007ffc35390d443a5878a2bcd3,2.670935795,-0.186416329,0.253005706,-0.736806818,0.461239837,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Schaedlerella,s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf,364.1918359,0.368835279,0.147567759,2.499429965,0.012439328,0.065545692,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Parasutterella,unidentified
2e2aa48327491860732b3ac809b0a333f8d4605e,2.111915713,0.431073632,0.303560117,1.420060172,0.155590164,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_G
b0a7b618138b08258a46347956ebba150b8545fa,19.0228682,-0.237034789,0.225828554,-1.049622753,0.293891592,0.447368312,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium lactatiformans
2121d02fed97ef400063411122ab85ea5c1ec618,4.196518711,0.39662479,0.192676001,2.058506449,0.039541543,0.11776503,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter,s__Agathobacter rectalis
17f552bd6c9e75f51ad67a8986900692f382050e,4.296190314,0.210220387,0.207542428,1.012903192,0.311106404,0.455182486,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee,38.9647297,0.241215194,0.187730029,1.284904687,0.198825593,0.373138442,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,unidentified
c3a017a81aebef041b016473a6feff557170abc8,1.752017399,-0.620794463,0.246684985,-2.516547426,0.011851095,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,unidentified,unidentified,unidentified
