OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	Species
d43edad3dc397d43cc72f9a8e10f06da1ce8959f	31.468365331377	-0.318332963372031	0.158313393787509	-2.0107772043552	0.0443489949761934	0.126579423161219	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Flavonifractor	unidentified
1825e0276b9c35d84fd53a1c986f1f31978eb8d8	105.336665308194	-0.0601330759459167	0.126564881576551	-0.475116597881426	0.634703868723899	0.730709495925833	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__Bacteroides salyersiae
d47beb8cb5d090d3ae5824302bb361b0c25784c6	237.40974241024	-0.124958499054401	0.0883936663172761	-1.41365896744095	0.157462058555532	0.317239735619234	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Fusicatenibacter	s__Fusicatenibacter saccharivorans
3cad2e9cb2043bd3aa4d49afe723a62b87b763f6	3.58892325363903	0.0116998739212118	0.227922838621857	0.0513326088423409	0.959060484249319	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Lawsonibacter	unidentified
fbb506568c406e9dc91efa9d9ac4cc536b73ca85	1099.40185720065	0.153606229754377	0.0794380069436426	1.93366167738011	0.0531547385648924	0.145643983667805	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	unidentified
b2fb2dc24b01aeaeedbfea99a32b7663d4ee5878	338.046501081848	0.46177534542212	0.33994913531598	1.35836599493893	0.174347578845968	0.336417159181657	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium faecium
2f331ad51f76d989782a9cb63dbea94e4f8b844c	62.0051596951498	-0.511892921382824	0.212026801703276	-2.41428403046516	0.015766166664318	0.0744815459659159	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	unidentified	unidentified
71140dd01d5964889d360c7a2b5b43df574e40f2	4.06497009924924	0.132999279865317	0.248812589388337	0.534535974213656	0.592970767174182	0.706408653068373	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	unidentified
43f2f063cb2edbd604264e0eabe3a364269c3a9d	5.12106648762379	-0.602977626257071	0.252008447675021	-2.39268814922682	0.0167254501798248	0.0763795558211999	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Angelakisella	s__Angelakisella massiliensis
72a591069a0e4e007ffc35390d443a5878a2bcd3	2.67093579546634	-0.18641632913044	0.253005706094537	-0.736806817553689	0.461239836683037	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Schaedlerella	s__Schaedlerella sp900066545
5b0b727a8cbf23997acbf2f9e32ff29a57f2d3cf	364.191835876099	0.368835279134279	0.147567759142328	2.49942996544753	0.0124393283701785	0.0655456917967096	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Parasutterella	unidentified
2e2aa48327491860732b3ac809b0a333f8d4605e	2.11191571300962	0.431073632013639	0.303560117084272	1.42006017178458	0.155590164094523	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
b0a7b618138b08258a46347956ebba150b8545fa	19.0228682040974	-0.237034788684109	0.225828554190096	-1.049622752686	0.29389159194402	0.447368312181453	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Ruthenibacterium	s__Ruthenibacterium lactatiformans
2121d02fed97ef400063411122ab85ea5c1ec618	4.19651871121873	0.396624790366668	0.192676000875405	2.05850644898503	0.0395415428482337	0.117765029787131	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Agathobacter	s__Agathobacter rectalis
17f552bd6c9e75f51ad67a8986900692f382050e	4.29619031438484	0.210220387394064	0.207542427590186	1.0129031920604	0.311106403563265	0.455182485716035	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Faecalibacterium	s__Faecalibacterium prausnitzii_G
79310580abcd5bac8cf38df4bdcb4ccde745f6ee	38.9647296955563	0.241215194366555	0.187730029187543	1.28490468685529	0.198825592946451	0.373138441557039	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	unidentified
c3a017a81aebef041b016473a6feff557170abc8	1.75201739928364	-0.620794463298048	0.246684984666364	-2.51654742641778	0.0118510949097014	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	unidentified	unidentified	unidentified
8cb061cbd139dcb5a87e44b016402cf2b03bd407	264.536096363475	0.128756969357501	0.11439244680222	1.12557229919312	0.260346598672847	0.445040191477414	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-81	unidentified
04ad1bf8ff4e32914011825abfdcb8dc2253c309	506.159366878608	0.307154109498235	0.136964669595917	2.24257912938003	0.0249239673439086	0.0975595293175851	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Rikenellaceae	g__Alistipes	s__Alistipes onderdonkii
01b9fa38fca5310b4b07769d3b8fd1b91e8dbde6	7.06132191652278	0.110300378208656	0.271747372593785	0.405893080605922	0.684821162370408	0.769020485612672	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Intestinimonas	s__Intestinimonas butyriciproducens
d28565e03340925758c915d26aaa3cb2f8ab09fe	3.54834191431274	-0.0946680631996486	0.241323621036817	-0.392286767424253	0.694846339762337	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Dorea	s__Dorea sp900066555
2f10b70f625cb69f74d6b362e2b8eef0701eced4	7.68153073163938	0.210253550600843	0.309584180653764	0.679148237344818	0.497043941091289	0.63557572122069	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Clostridium_A	s__Clostridium_A leptum
bff7567f7d6358cc9c05f3c740c4f769d4c86c03	4.9093984783582	0.0577977113690102	0.250054847135548	0.231140135978567	0.817205935222109	0.874665727542413	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Enterocloster	s__Enterocloster asparagiformis
ffd305a548903f3e385469f595688a2e0671f6db	2.97957044990663	-0.0684104307996166	0.218905130358167	-0.312511774793424	0.754651615867341	NA	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Tannerellaceae	g__Parabacteroides	unidentified
7de51ee500c68a9da4fd52a4df1133cba2ab0fca	11.6954789781968	-0.187232790963672	0.226736209606716	-0.82577366574327	0.408932495228641	0.549252469081606	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Roseburia	unidentified
b29981efa33acb2f764a0ece8ed2f85ae22a7925	4.16051890313012	-0.328828904142453	0.273549869491932	-1.20208028157057	0.22933242526839	0.409634522106659	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Phocaeicola	s__Phocaeicola vulgatus
5306dd9efe1839e6fc783e22358007b036aca265	7.66650008444834	0.688819161590524	0.201889739078528	3.41185819910638	0.000645216677961626	0.00679959114467252	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__UMGS1071	s__UMGS1071 sp900548305
4108dc84e615159b91e360f8a6d98cd5778a158d	23.7331102278598	0.471510456114897	0.126106631634636	3.73898224068807	0.000184766777856434	0.00258031080141637	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Coprococcus_A	s__Coprococcus_A catus
7ff95b896e69c63b94586ec5f6443abe023e44b3	1.80066607636754	0.18028470972919	0.319334104424879	0.564564533606214	0.572369994353031	NA	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Ruminococcaceae	g__Gemmiger	s__Gemmiger qucibialis
7a28d503d7837807b14782292b923bbc85bb9151	28.2338247003613	-0.411976373900479	0.223537914810065	-1.84298209210068	0.0653316251661524	0.168155711646689	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__Intestinibacter	s__Intestinibacter bartlettii
cf14a9e873ab926b813d08637c2bf5cbbe23c464	24.4778336233297	0.173968245309005	0.185825189498973	0.936193019784146	0.349173816446764	0.493163019105223	d__Bacteria	p__Actinobacteriota	c__Coriobacteriia	o__Coriobacteriales	unidentified	unidentified	unidentified
9ed1d246a1d504a6654f3fb03b5cb9a45fd2fbc9	227.539323012649	-0.177874106833229	0.17604736889442	-1.01037640011482	0.312314990199324	0.455182485716035	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__CAG-83	s__CAG-83 sp900545585
