OTU,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,Species
00b5819148080b717d2e11c8e5cf25ee374ad05c,120.2972304,-0.221473299,0.136236683,-1.625650995,0.10402392,0.196995895,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q symbiosum
00b5819148080b717d2e11c8e5cf25ee374ad05c,1.271750332,1.149543992,0.981825201,1.170823473,0.24166974,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q symbiosum
00b5819148080b717d2e11c8e5cf25ee374ad05c,11.33021451,-0.401416794,0.689494696,-0.582189821,0.560438829,0.896059789,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Clostridium_Q,s__Clostridium_Q symbiosum
01b9fa38fca5310b4b07769d3b8fd1b91e8dbde6,8.065277445,-0.325663546,0.458255481,-0.710659357,0.477295351,0.814952996,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__Intestinimonas butyriciproducens
01b9fa38fca5310b4b07769d3b8fd1b91e8dbde6,10.51833339,-0.980017315,0.491663631,-1.993267863,0.046232123,0.416089111,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__Intestinimonas butyriciproducens
01b9fa38fca5310b4b07769d3b8fd1b91e8dbde6,7.074269502,0.135311026,0.423808389,0.319274061,0.7495187,0.887532059,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__Intestinimonas butyriciproducens
01b9fa38fca5310b4b07769d3b8fd1b91e8dbde6,7.061321917,0.110300378,0.271747373,0.405893081,0.684821162,0.769020486,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__Intestinimonas butyriciproducens
01eb78f6a3e2cae974465460b01bcf732f9273cf,244.9318719,-0.12119307,0.49045377,-0.247103963,0.804827767,0.931202193,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,unidentified
01eb78f6a3e2cae974465460b01bcf732f9273cf,55.3561864,-0.571749363,0.758095424,-0.754191814,0.450734052,0.749476389,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,unidentified
01eb78f6a3e2cae974465460b01bcf732f9273cf,149.8264712,-0.160987756,0.631765222,-0.254822125,0.798860486,0.961709576,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,unidentified
01eb78f6a3e2cae974465460b01bcf732f9273cf,70.58118683,0.038431216,0.268844283,0.142949725,0.886329887,0.945117074,d__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,unidentified
04275ac29161113dc22eeb92d596def124b37373,1.251386211,-0.950090964,0.685545265,-1.385890929,0.165780211,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum butyriciproducens
04275ac29161113dc22eeb92d596def124b37373,1.712962324,0.925788936,1.086729138,0.851904033,0.394267358,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum butyriciproducens
04275ac29161113dc22eeb92d596def124b37373,3.622554481,0.092158142,0.294319054,0.313123261,0.754187017,0.888028657,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum butyriciproducens
04ad1bf8ff4e32914011825abfdcb8dc2253c309,7274.78061,-0.03945694,0.079375403,-0.497092781,0.619123625,0.751984014,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,77.13076639,-0.366470284,0.286186614,-1.280529087,0.200359122,0.589736283,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,2.298225332,0.097299146,0.953971892,0.101993724,0.918761657,0.97173305,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,17.1867665,-1.210110643,0.339835555,-3.560871208,0.000369626,0.004250703,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,673.5381839,0.234977673,0.427143939,0.55011356,0.582241487,0.900184224,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,27.66069066,0.506919659,0.531143482,0.954393071,0.339884712,0.889290371,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,335.989031,-0.144754576,0.178064395,-0.81293386,0.41625598,0.739509967,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04ad1bf8ff4e32914011825abfdcb8dc2253c309,506.1593669,0.307154109,0.13696467,2.242579129,0.024923967,0.097559529,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes onderdonkii
04b54def9f428c2874300fdda1382659c8bb12a5,3.224416457,0.371132008,0.467475301,0.793907201,0.427249457,0.807889882,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,unidentified
04b54def9f428c2874300fdda1382659c8bb12a5,24.43271617,0.787530344,0.404241456,1.948168184,0.051394842,0.420866821,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,unidentified
04b54def9f428c2874300fdda1382659c8bb12a5,2.127003119,-0.340328316,0.373653116,-0.910813536,0.362393629,0.707657504,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,unidentified
04b54def9f428c2874300fdda1382659c8bb12a5,2.879971711,0.610914503,0.205528853,2.972402635,0.002954789,NA,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,unidentified
058315feb5f0dbd44ab6a6f983f2e9951c2cf168,1.233778202,0.171028423,0.826008205,0.207054146,0.835967572,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp900066565
058315feb5f0dbd44ab6a6f983f2e9951c2cf168,9.861845403,-0.113086901,0.58279699,-0.194041669,0.846143255,0.963567217,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp900066565
058315feb5f0dbd44ab6a6f983f2e9951c2cf168,2.233396555,-0.649974287,0.45950256,-1.414517227,0.157210093,0.484926168,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp900066565
05c3ed1450bec5332963c681037a93036a645562,1.623249228,0.267701676,0.613307054,0.436488826,0.662482105,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
05c3ed1450bec5332963c681037a93036a645562,1.962182255,1.351079117,0.959908118,1.407508793,0.159276572,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
05c3ed1450bec5332963c681037a93036a645562,3.184843928,-0.313718971,0.286942445,-1.093316714,0.274254767,0.62643985,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,1267.040913,0.169457344,0.132233373,1.281502094,0.200017365,0.320104536,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,21.35502417,-0.115791538,0.540761276,-0.214126904,0.830448096,0.931202193,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,2.114088264,0.181963698,0.771543202,0.235843822,0.813553862,0.923319065,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,127.7195006,-0.692471697,0.48646236,-1.423484639,0.154595712,0.288300112,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,31.34672318,0.238644583,1.110196148,0.214957135,0.829800739,0.963567217,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,2.757837949,-0.45855019,0.526061731,-0.871666125,0.383390546,0.715254471,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
07443c4ebca15c568e2e38f997cf05fc4d7390c1,163.5173354,0.2732014,0.238658466,1.144737934,0.252317732,0.438402688,d__Bacteria,p__Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified
075196b7efb2ac2443aba8f2938ba1002dbeb789,2.875342602,-0.510152079,0.501955096,-1.016330111,0.309472215,0.729628573,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp900546885
075196b7efb2ac2443aba8f2938ba1002dbeb789,12.12063728,-1.764638653,0.540885745,-3.262497985,0.00110435,0.051352255,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp900546885
075196b7efb2ac2443aba8f2938ba1002dbeb789,7.590487619,-0.129837329,0.388587225,-0.334126602,0.738284027,0.882950611,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp900546885
075196b7efb2ac2443aba8f2938ba1002dbeb789,2.239483304,0.062746446,0.305153524,0.205622551,0.837085761,NA,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Ruthenibacterium,s__Ruthenibacterium sp900546885
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,494.6665105,-0.866777506,0.113338589,-7.647682172,2.05E-14,1.32E-12,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,291.9977037,-3.422899119,0.55732748,-6.14162991,8.17E-10,8.49E-08,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,16.77191189,-1.690644095,0.517496786,-3.266965398,0.00108707,0.014131906,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,43.59448847,-3.531256938,0.666240139,-5.300276477,1.16E-07,6.45E-05,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
079bd0f00fc8de914fea8f5a1009e0a3ab1454c3,135.761706,-1.306180871,0.498340748,-2.621059739,0.00876569,0.187001387,d__Bacteria,p__Firmicutes_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter,s__Mediterraneibacter torques
